n,loss,fth,run,tcp_variant,delack,conv_ack_bytes,conv_ack_packets,qicaaf_confirm_bytes,qicaaf_confirm_packets,data_complete_count,confirmed_count,fidelity,global_confirmed,confirm_time_ms,tcp_data_bytes_fwd,tcp_data_packets_fwd
100,0.1,0.9,5,ns3::TcpLinuxReno,2,20924,393,3080,96,96,92,0.92,1,3014.07,76864,425
100,0.1,0.9,6,ns3::TcpLinuxReno,2,22580,425,3208,100,100,93,0.93,1,3014.06,79048,428
100,0.1,0.9,7,ns3::TcpLinuxReno,2,19764,371,3112,97,97,84,0.84,0,0,79568,428
100,0.1,0.9,8,ns3::TcpLinuxReno,2,19732,371,3112,97,97,91,0.91,1,3014.06,80248,422
100,0.1,0.9,9,ns3::TcpLinuxReno,2,20712,389,3176,99,99,90,0.9,1,3014.07,76796,424
100,0.1,0.9,10,ns3::TcpLinuxReno,2,19604,368,3176,99,99,91,0.91,1,4014.06,78208,422
500,0.01,0.9,1,ns3::TcpLinuxReno,2,83152,1560,16008,500,500,498,0.996,1,14.0616,366960,2016
500,0.01,0.9,2,ns3::TcpLinuxReno,2,82356,1545,16008,500,500,494,0.988,1,14.0616,366736,2012
500,0.01,0.9,3,ns3::TcpLinuxReno,2,83092,1559,16008,500,500,495,0.99,1,14.0616,365100,2010
500,0.01,0.9,4,ns3::TcpLinuxReno,2,82960,1556,16008,500,500,495,0.99,1,14.0616,367016,2017
500,0.01,0.9,5,ns3::TcpLinuxReno,2,82796,1553,16008,500,500,495,0.99,1,14.0616,364648,2011
500,0.01,0.9,6,ns3::TcpLinuxReno,2,83012,1557,16008,500,500,498,0.996,1,14.0616,363632,2011
500,0.01,0.9,7,ns3::TcpLinuxReno,2,81184,1522,16008,500,500,496,0.992,1,14.0616,368256,2021
500,0.01,0.9,8,ns3::TcpLinuxReno,2,81568,1530,16008,500,500,495,0.99,1,14.0616,365776,2013
500,0.01,0.9,9,ns3::TcpLinuxReno,2,81940,1537,16008,500,500,495,0.99,1,14.0616,364816,2014
500,0.01,0.9,10,ns3::TcpLinuxReno,2,82216,1542,16008,500,500,492,0.984,1,14.0616,366396,2015
500,0.05,0.9,1,ns3::TcpLinuxReno,2,93176,1750,15976,499,499,481,0.962,1,3014.06,377156,2071
500,0.05,0.9,2,ns3::TcpLinuxReno,2,91116,1711,15944,498,498,475,0.95,1,3014.06,375868,2057
500,0.05,0.9,3,ns3::TcpLinuxReno,2,90972,1706,15880,496,496,474,0.948,1,3014.06,380436,2084
500,0.05,0.9,4,ns3::TcpLinuxReno,2,91620,1719,15912,497,497,471,0.942,1,3014.06,381280,2081
500,0.05,0.9,5,ns3::TcpLinuxReno,2,90368,1696,16008,500,500,480,0.96,1,3014.06,377664,2062
500,0.05,0.9,6,ns3::TcpLinuxReno,2,90788,1703,15976,499,499,474,0.948,1,3014.06,373660,2063
500,0.05,0.9,7,ns3::TcpLinuxReno,2,92036,1728,15976,499,499,475,0.95,1,3014.06,387084,2085
500,0.05,0.9,8,ns3::TcpLinuxReno,2,88836,1667,15944,498,498,476,0.952,1,3014.06,385792,2080
500,0.05,0.9,9,ns3::TcpLinuxReno,2,92348,1734,15848,495,495,469,0.938,1,3014.06,379260,2072
500,0.05,0.9,10,ns3::TcpLinuxReno,2,92096,1728,15816,494,494,470,0.94,1,3014.06,375936,2067
500,0.1,0.9,1,ns3::TcpLinuxReno,2,100868,1896,15592,487,487,435,0.87,0,0,392928,2125
500,0.1,0.9,2,ns3::TcpLinuxReno,2,102880,1934,15688,490,490,439,0.878,0,0,386488,2110
500,0.1,0.9,3,ns3::TcpLinuxReno,2,100304,1882,15432,482,482,440,0.88,0,0,397904,2150
500,0.1,0.9,4,ns3::TcpLinuxReno,2,100828,1894,15624,488,488,441,0.882,0,0,395348,2132
500,0.1,0.9,5,ns3::TcpLinuxReno,2,100884,1895,15720,491,491,449,0.898,0,0,389356,2125
500,0.1,0.9,6,ns3::TcpLinuxReno,2,101972,1915,15944,498,498,445,0.89,0,0,390212,2132
500,0.1,0.9,7,ns3::TcpLinuxReno,2,100344,1884,15784,493,493,443,0.886,0,0,401060,2153
500,0.1,0.9,8,ns3::TcpLinuxReno,2,96340,1807,15656,489,489,442,0.884,0,0,404140,2153
500,0.1,0.9,9,ns3::TcpLinuxReno,2,100792,1894,15624,488,488,439,0.878,0,0,396252,2130
500,0.1,0.9,10,ns3::TcpLinuxReno,2,101268,1902,15432,482,482,438,0.876,0,0,385840,2116
1000,0.01,0.9,1,ns3::TcpLinuxReno,2,165944,3114,32008,1000,1000,984,0.984,1,14.0616,732396,4032
1000,0.01,0.9,2,ns3::TcpLinuxReno,2,166552,3125,32008,1000,1000,987,0.987,1,14.0616,729860,4023
1000,0.01,0.9,3,ns3::TcpLinuxReno,2,165452,3103,32008,1000,1000,987,0.987,1,14.0616,732224,4038
1000,0.01,0.9,4,ns3::TcpLinuxReno,2,164340,3082,32008,1000,1000,992,0.992,1,14.0616,730536,4026
1000,0.01,0.9,5,ns3::TcpLinuxReno,2,163596,3067,32008,1000,1000,990,0.99,1,14.0616,731488,4043
1000,0.01,0.9,6,ns3::TcpLinuxReno,2,164380,3083,32008,1000,1000,988,0.988,1,14.0616,729972,4025
1000,0.01,0.9,7,ns3::TcpLinuxReno,2,164136,3078,32008,1000,1000,991,0.991,1,14.0616,730816,4031
1000,0.01,0.9,8,ns3::TcpLinuxReno,2,163832,3072,32008,1000,1000,988,0.988,1,14.0616,733580,4035
1000,0.01,0.9,9,ns3::TcpLinuxReno,2,164508,3085,31976,999,999,985,0.985,1,14.0616,730708,4029
1000,0.01,0.9,10,ns3::TcpLinuxReno,2,165044,3095,32008,1000,1000,992,0.992,1,14.0616,728956,4025
1000,0.05,0.9,1,ns3::TcpLinuxReno,2,182420,3426,31688,990,990,930,0.93,1,3014.06,756320,4141
1000,0.05,0.9,2,ns3::TcpLinuxReno,2,186532,3503,31912,997,997,944,0.944,1,3014.06,754936,4144
1000,0.05,0.9,3,ns3::TcpLinuxReno,2,182264,3421,31912,997,997,941,0.941,1,3014.06,760972,4152
1000,0.05,0.9,4,ns3::TcpLinuxReno,2,180352,3384,31784,993,993,949,0.949,1,3014.06,749200,4132
