n,loss,fth,run,tcp_variant,delack,conv_ack_bytes,conv_ack_packets,qicaaf_confirm_bytes,qicaaf_confirm_packets,data_complete_count,confirmed_count,fidelity,global_confirmed,confirm_time_ms,tcp_data_bytes_fwd,tcp_data_packets_fwd
100,0.05,0.9,2,ns3::TcpLinuxReno,2,18648,350,3208,100,100,98,0.98,1,3014.06,75724,414
100,0.05,0.9,3,ns3::TcpLinuxReno,2,16928,317,3176,99,99,96,0.96,1,3014.06,74712,414
100,0.05,0.9,4,ns3::TcpLinuxReno,2,18856,354,3208,100,100,97,0.97,1,3014.06,77640,421
100,0.05,0.9,5,ns3::TcpLinuxReno,2,17500,328,3112,97,97,95,0.95,1,3014.06,75792,415
100,0.05,0.9,6,ns3::TcpLinuxReno,2,19056,358,3208,100,100,97,0.97,1,3014.06,75724,414
100,0.05,0.9,7,ns3::TcpLinuxReno,2,18084,339,3144,98,98,91,0.91,1,3014.06,76464,418
100,0.05,0.9,8,ns3::TcpLinuxReno,2,18044,339,3176,99,99,97,0.97,1,1014.06,77028,410
100,0.05,0.9,9,ns3::TcpLinuxReno,2,18428,346,3208,100,100,96,0.96,1,3014.06,75272,415
100,0.05,0.9,10,ns3::TcpLinuxReno,2,17176,322,3208,100,100,96,0.96,1,1014.06,73864,408
100,0.05,0.9,11,ns3::TcpLinuxReno,2,19776,372,3208,100,100,96,0.96,1,3014.06,75048,411
100,0.05,0.9,12,ns3::TcpLinuxReno,2,19220,361,3208,100,100,93,0.93,1,3014.06,75836,416
100,0.05,0.9,13,ns3::TcpLinuxReno,2,17788,334,3176,99,99,98,0.98,1,1014.06,75448,409
100,0.05,0.9,14,ns3::TcpLinuxReno,2,17448,327,3208,100,100,96,0.96,1,3014.06,75836,416
100,0.05,0.9,15,ns3::TcpLinuxReno,2,17232,323,3208,100,100,96,0.96,1,3014.06,74652,413
100,0.05,0.9,16,ns3::TcpLinuxReno,2,18516,348,3208,100,100,94,0.94,1,3014.06,75724,414
100,0.05,0.9,17,ns3::TcpLinuxReno,2,17524,329,3208,100,100,92,0.92,1,3014.06,76120,412
100,0.05,0.9,18,ns3::TcpLinuxReno,2,18556,349,3208,100,100,96,0.96,1,1014.06,76064,411
100,0.05,0.9,19,ns3::TcpLinuxReno,2,18388,345,3208,100,100,96,0.96,1,3014.06,75892,417
100,0.05,0.9,20,ns3::TcpLinuxReno,2,17596,330,3112,97,97,93,0.93,1,3014.06,74888,417
100,0.1,0.9,1,ns3::TcpLinuxReno,2,20532,386,3144,98,98,81,0.81,0,0,78212,422
100,0.1,0.9,2,ns3::TcpLinuxReno,2,19636,369,3048,95,95,89,0.89,0,0,75628,421
100,0.1,0.9,3,ns3::TcpLinuxReno,2,19588,367,3112,97,97,90,0.9,1,3014.06,75112,421
100,0.1,0.9,4,ns3::TcpLinuxReno,2,20108,378,3112,97,97,92,0.92,1,6014.06,80188,430
100,0.1,0.9,5,ns3::TcpLinuxReno,2,20924,393,3080,96,96,92,0.92,1,3014.07,76864,425
100,0.1,0.9,6,ns3::TcpLinuxReno,2,22580,425,3208,100,100,93,0.93,1,3014.06,79048,428
100,0.1,0.9,7,ns3::TcpLinuxReno,2,19764,371,3112,97,97,84,0.84,0,0,79568,428
100,0.1,0.9,8,ns3::TcpLinuxReno,2,19732,371,3112,97,97,91,0.91,1,3014.06,80248,422
100,0.1,0.9,9,ns3::TcpLinuxReno,2,20712,389,3176,99,99,90,0.9,1,3014.07,76796,424
100,0.1,0.9,10,ns3::TcpLinuxReno,2,19604,368,3176,99,99,91,0.91,1,4014.06,78208,422
100,0.1,0.9,11,ns3::TcpLinuxReno,2,20544,386,3080,96,96,87,0.87,0,0,77260,423
100,0.1,0.9,12,ns3::TcpLinuxReno,2,19512,366,3144,98,98,87,0.87,0,0,76856,425
100,0.1,0.9,13,ns3::TcpLinuxReno,2,18892,355,3144,98,98,91,0.91,1,4014.06,77592,420
100,0.1,0.9,14,ns3::TcpLinuxReno,2,20308,381,3080,96,96,87,0.87,0,0,75172,422
100,0.1,0.9,15,ns3::TcpLinuxReno,2,18812,353,3176,99,99,90,0.9,1,4014.06,76628,421
100,0.1,0.9,16,ns3::TcpLinuxReno,2,21304,401,3208,100,100,89,0.89,0,0,79500,427
100,0.1,0.9,17,ns3::TcpLinuxReno,2,20568,387,3208,100,100,84,0.84,0,0,78204,422
100,0.1,0.9,18,ns3::TcpLinuxReno,2,20808,391,3176,99,99,92,0.92,1,3014.07,80236,431
100,0.1,0.9,19,ns3::TcpLinuxReno,2,19924,374,3144,98,98,89,0.89,0,0,83004,435
100,0.1,0.9,20,ns3::TcpLinuxReno,2,19544,366,3048,95,95,85,0.85,0,0,78728,431
250,0.01,0.9,1,ns3::TcpLinuxReno,2,40952,768,8008,250,250,246,0.984,1,14.0616,181788,1005
250,0.01,0.9,2,ns3::TcpLinuxReno,2,40700,763,8008,250,250,250,1,1,14.0616,182576,1010
250,0.01,0.9,3,ns3::TcpLinuxReno,2,42172,791,8008,250,250,247,0.988,1,14.0616,182012,1009
250,0.01,0.9,4,ns3::TcpLinuxReno,2,41724,783,8008,250,250,247,0.988,1,14.0616,181788,1005
250,0.01,0.9,5,ns3::TcpLinuxReno,2,40736,764,8008,250,250,247,0.988,1,14.0616,183312,1005
250,0.01,0.9,6,ns3::TcpLinuxReno,2,41176,772,8008,250,250,249,0.996,1,14.0616,181844,1006
250,0.01,0.9,7,ns3::TcpLinuxReno,2,40604,761,8008,250,250,248,0.992,1,14.0616,181788,1005
250,0.01,0.9,8,ns3::TcpLinuxReno,2,41064,770,8008,250,250,249,0.996,1,14.0616,181844,1006
